journey_pk,start_iso,end_iso,duration_min,distance_km,temp_c,condition,wind_kph,is_daylight
276,2026-03-24T01:00:06.571129,2026-03-24T01:26:16.000153,26.2,11.482,,,,
278,2026-03-24T03:27:25.359680,2026-03-24T03:58:38.998869,31.2,21.907,,,,
283,2026-03-24T15:50:58.999347,2026-03-24T15:55:14.592088,4.3,0.513,,,,
285,2026-03-24T15:56:30.238785,2026-03-24T17:51:15.998798,114.8,21.889,3.6,clear,4.4,1
285,2026-03-24T15:56:30.238785,2026-03-24T17:51:15.998798,114.8,21.889,5.7,clear,5.4,1
286,2026-03-24T17:51:17.998791,2026-03-24T18:32:31.000793,41.2,13.167,6.0,clear,4.7,1
288,2026-03-24T18:40:30.001232,2026-03-24T18:41:01.000260,0.5,0.155,,,,
290,2026-03-24T18:41:13.000126,2026-03-24T18:47:36.873808,6.4,1.110,6.6,clear,4.1,1
294,2026-03-24T23:53:32.958096,2026-03-25T00:13:03.000122,19.5,3.863,,,,
297,2026-03-25T01:31:13.512084,2026-03-25T01:38:35.999326,7.4,1.901,,,,
299,2026-03-25T01:45:16.540479,2026-03-25T02:09:57.999134,24.7,9.643,,,,
303,2026-03-25T04:21:06.000019,2026-03-25T16:29:40.638186,728.6,19.554,2.4,mostlyClear,3.9,0
303,2026-03-25T04:21:06.000019,2026-03-25T16:29:40.638186,728.6,19.554,2.2,mostlyClear,4.7,0
304,2026-03-25T16:29:40.815372,2026-03-25T16:51:01.076681,21.3,6.636,11.9,cloudy,7.4,1
304,2026-03-25T16:29:40.815372,2026-03-25T16:51:01.076681,21.3,6.636,12.5,cloudy,8.2,1
306,2026-03-25T17:13:18.834041,2026-03-25T17:47:21.000143,34.0,15.585,13.2,cloudy,9.0,1
308,2026-03-25T17:56:49.300844,2026-03-25T18:09:24.000018,12.6,1.163,,,,
310,2026-03-25T19:53:48.999624,2026-03-25T20:07:49.000085,14.0,0.224,,,,
318,2026-03-25T23:57:36.130042,2026-03-26T00:08:35.999791,11.0,0.990,,,,
321,2026-03-26T00:17:26.784290,2026-03-26T00:24:41.999769,7.3,2.378,14.2,cloudy,8.5,0
323,2026-03-26T00:24:42.999763,2026-03-26T00:32:33.999895,7.9,1.742,,,,
325,2026-03-26T00:36:22.000167,2026-03-26T00:44:20.999372,8.0,2.319,,,,
327,2026-03-26T00:45:01.834892,2026-03-26T01:00:57.999747,15.9,1.643,13.8,cloudy,8.4,0
329,2026-03-26T03:32:37.999373,2026-03-26T03:53:55.869938,21.3,6.509,,,,
330,2026-03-26T03:53:56.869938,2026-03-26T04:13:46.999858,19.8,5.103,,,,
333,2026-03-26T04:30:32.040471,2026-03-26T04:35:13.999774,4.7,0.535,12.0,partlyCloudy,9.7,0
335,2026-03-26T04:38:55.001006,2026-03-26T04:52:29.999949,13.6,8.168,12.4,mostlyClear,11.8,0
339,2026-03-26T05:09:21.001792,2026-03-26T05:30:57.000401,21.6,12.669,11.9,partlyCloudy,9.8,0
